NORMAL_ID,raw_white,raw_ground,raw_universe,has_stats,ground,white,candidate,ID
30019898,1,1,1,1,0,1,0,247781134714756
30085819,1,1,1,1,0,1,0,261923768398754
30897301,0,1,1,1,1,0,1,192640663218990
30903371,0,0,1,1,0,0,1,228722136991011
31104207,0,0,1,1,0,0,1,191891593038092
31840243,1,1,1,1,0,1,0,102177436773158
3197196,1,1,1,1,0,1,0,138689896278181
31994759,1,1,1,1,0,1,0,71414853223692
3202989,0,1,1,1,1,0,1,118400534161426
32392868,1,1,1,1,0,1,0,181607786657817
32930718,1,1,1,1,0,1,0,120813411390964
33098420,1,1,1,1,0,1,0,50862062663558
33391543,1,1,1,1,0,1,0,197472746959861
33424254,1,1,1,1,0,1,0,235690516577208
3357970,1,1,1,1,0,1,0,99797805109653
33642292,1,1,1,1,0,1,0,195076617764647
33686138,1,1,1,1,0,1,0,259301280237299
33720165,1,1,1,1,0,1,0,257985905599316
3454539,1,1,1,1,0,1,0,174939794684500
3458352,1,1,1,1,0,1,0,257103832007592
35724394,1,1,1,1,0,1,0,115450637116480
36112340,1,1,1,1,0,1,0,14590532060389
3628986,1,1,1,1,0,1,0,172563871450412
3653458,1,1,1,1,0,1,0,19092650754671
36668165,1,1,1,1,0,1,0,17974572544054
36786221,1,1,1,1,0,1,0,97281916154073
36893465,1,1,1,1,0,1,0,66354735861885
36999185,1,1,1,1,0,1,0,20654099175035
3741386,1,1,1,1,0,1,0,9745256180561
37700176,0,1,1,1,1,0,1,91305066968546
3773665,1,1,1,1,0,1,0,28323522323002
3773986,1,1,1,1,0,1,0,125289065294785
38319401,1,1,1,1,0,1,0,7430799229445
38344182,1,1,1,1,0,1,0,255478662596980
38653700,1,1,1,1,0,1,0,220454038561469
